# MALT90 Year 2 catalog from dstncs201.dat Sun Dec 11 17:56:52 2011 velocat=/mako4/d/scott/velo/socat211-rev.dat  Reid rotation model
#source          type     londeg     latdeg    vbest     vrms vcode  kdnear   kdfar   derrp   derrm   probn   probf  dcode comment
 G358.205-00.018    0 358.205627  -0.017218   -39.02    -0.50    16   7.157   9.835   0.168   0.136  -1.000  -1.000      0 multiple-close-pks
 G358.883+00.052    0 358.883423   0.053026    -2.01     0.50    30   2.613  14.383  29.180   2.520  -1.000  -1.000      0 bad-n2hp-fit
 G358.884-00.353    0 358.884674  -0.352740   -22.96     2.00     1   7.079   9.918   0.347   0.235  -1.000  -1.000      0 ratty;use-hnc;2nd-pk--78.7
 G359.138+00.030    0 359.138031   0.030962   -13.79     2.00    30   6.750  10.248   0.785   0.415  -1.000  -1.000      0 use-hcop;2nd-pk--2.3
 G359.210-00.076    0 359.211090  -0.075531    26.79     0.13    18   0.000   0.000   0.000   0.000  -1.000  -1.000      4 OK
 G359.598-00.225    0 359.598358  -0.224618    18.41     0.39    30   0.000   0.000   0.000   0.000  -1.000  -1.000      4 OK
 G359.606+00.013    0 359.606506   0.013849   -74.61     4.94    22   8.326   8.673   0.019   0.016  -1.000  -1.000      0 wide-multiple-cmpnts
 G359.656-00.300    0 359.657074  -0.299049    15.82     0.06    30   0.000   0.000   0.000   0.000  -1.000  -1.000      4 OK
 G359.913-00.130    0 359.914032  -0.129202    32.37     2.35    14   0.000   0.000   0.000   0.000  -1.000  -1.000      4 wide-multipe-cmpnts
 G359.941+00.173    0 359.941895   0.173645    15.03     0.50    30   0.000   0.000   0.000   0.000  -1.000  -1.000      4 use-hcop-hcn;2nd-pk--1.
 G359.997-00.475    0 359.997986  -0.473945    18.97     0.17    30   0.000   0.000   0.000   0.000  -1.000  -1.000      4 OK
